param origin :=

1 3
2 1
3 5
4 4
5 2
6 1
7 2
8 1
9 3
10 2
11 4
12 4
13 4
14 1
15 5
16 2
17 2
18 4
19 3
20 5
21 1
22 5
23 1
24 2
25 3
26 1
27 1
28 3
29 5
30 3
31 4
32 1
33 2
34 1
35 1
36 5
37 2
38 2
39 4
40 3
;
param destination :=

1 4
2 2
3 1
4 1
5 4
6 2
7 4
8 5
9 5
10 4
11 3
12 2
13 3
14 5
15 1
16 1
17 1
18 2
19 1
20 3
21 3
22 4
23 5
24 1
25 1
26 2
27 5
28 1
29 2
30 2
31 3
32 3
33 4
34 2
35 5
36 2
37 1
38 4
39 3
40 1
;
param departure_time :=

1 429
2 432
3 444
4 453
5 471
6 485
7 499
8 540
9 552
10 583
11 597
12 603
13 630
14 647
15 660
16 670
17 743
18 748
19 750
20 780
21 780
22 790
23 801
24 847
25 861
26 870
27 898
28 900
29 920
30 957
31 977
32 979
33 993
34 999
35 1023
36 1043
37 1080
38 1085
39 1089
40 1101
;
param arrival_time :=

1 519
2 492
3 474
4 543
5 501
6 545
7 529
8 570
9 582
10 613
11 687
12 633
13 720
14 677
15 690
16 730
17 803
18 778
19 780
20 810
21 810
22 910
23 831
24 907
25 891
26 930
27 928
28 930
29 1010
30 1017
31 1067
32 1009
33 1023
34 1059
35 1053
36 1133
37 1140
38 1110
39 1179
40 1131
;
